"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
11,"NCT00012116","Temozolomide in Treating Patients With Solid Tumors That Have Spread to the Brain","Completed","No Results Available","Metastatic Cancer","Drug: temozolomide","Jonsson Comprehensive Cancer Center|National Cancer Institute (NCI)|Schering-Plough","All","18 Years and older   (Adult, Senior)","Phase 2","4","Other|NIH|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","CDR0000068485|P30CA016042|UCLA-0004059|SPRI-UCLA-0004059|NCI-G01-1919","March 3, 2001","October 2000","April 2002","October 28, 2015","July 2012","No Study Results Posted","null","April 2002","To assess the rate of response/control of cerebral metastases from solid tumors to extended low dose, continuous oral temozolomide|To assess the safety and tolerability of low dose, continuous oral temozolomide in this patient population|to measure quality of life in patients with cerebral metastases treated with low dose, continuous temozolomide|To measure the rate of response of systemic disease outside the central nervous system to extended low dose continuous oral temozolomide","https://ClinicalTrials.gov/show/NCT00012116"
12,"NCT00165230","Thalidomide in Combination With Temodar in Patients With Neuroendocrine Tumors","Completed","No Results Available","Neuroendocrine Tumor","Drug: Thalidomide|Drug: Temodar","Dana-Farber Cancer Institute|Brigham and Women's Hospital|Massachusetts General Hospital|Beth Israel Deaconess Medical Center","All","18 Years and older   (Adult, Senior)","Phase 2","32","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","02-011","September 9, 2005","May 2002","July 2006","April 27, 2009","April 2009","No Study Results Posted","null","July 2006","To assess the response rate in patients with locally unresectable neuroendocrine tumors treated with temodar and thalidomide.|To evaluate overall response and progression free survival of this patient population|to evaluate the safety of temodar and thalidomide.","https://ClinicalTrials.gov/show/NCT00165230"
13,"NCT00629187","Safety Study of High Dose Temozolomide to Treat Relapsed/Refractory Central Nervous System (CNS) Malignancy","Terminated","No Results Available","Central Nervous System Neoplasms|Neoplasm Metastasis","Drug: Temozolomide","Tufts Medical Center","All","18 Years to 70 Years   (Adult, Senior)","Phase 1","2","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","CN-306","February 25, 2008","April 2004","April 2012","April 26, 2012","April 2012","No Study Results Posted","CN-306","April 2012","Determine the maximum tolerated dose of temozolomide with hematopoietic stem cell rescue in patients with recurrent CNS malignancy|Estimate the response rate, response duration and survival according to established response definitions|Determine the pharmacokinetics of high daily dosing of temozolomide in the transplant setting","https://ClinicalTrials.gov/show/NCT00629187"
14,"NCT00400816","Temozolomide in Treating Patients With Newly Diagnosed Anaplastic Oligodendroglioma or Mixed Oligoastrocytoma","Active, not recruiting","No Results Available","Central Nervous System Tumors|Brain Tumor","Drug: temozolomide","The Cleveland Clinic|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Senior)","Phase 2","60","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","CASE-CCF-4204|P30CA043703","November 16, 2006","August 2005","December 2016","August 6, 2016","August 2016","No Study Results Posted","null","December 2016","Progression-Free Survival|Toxicity","https://ClinicalTrials.gov/show/NCT00400816"
15,"NCT01186406","Gliadel, XRT, Temodar, Avastin Followed by Avastin, Temodar for Newly Diagnosed Glioblastoma Multiforme (GBM)","Active, not recruiting","Has Results","Glioblastoma Multiforme|Gliosarcoma","Drug: Gliadel|Radiation: Radiation Therapy|Drug: Avastin|Drug: Temodar","Duke University|Genentech, Inc.|Eisai Inc.","All","18 Years and older   (Adult, Senior)","Phase 2","41","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","Pro00025180","August 19, 2010","April 2011","June 2018","January 27, 2017","January 2017","October 17, 2014","null","May 2014","21-month Overall Survival|Median Overall Survival|Median Progression-free Survival|Unacceptable Toxicity Related to the Treatment Regimen","https://ClinicalTrials.gov/show/NCT01186406"
16,"NCT01242566","Temozolomide in Elderly Patients With KPS < 70","Completed","No Results Available","Primary Brain Tumor|Glioblastoma","Drug: Temozolomide","Assistance Publique - Hôpitaux de Paris|Association de Neuro-Oncologues d’Expression Francaise","All","70 Years and older   (Senior)","Phase 2","70","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","P060102","November 16, 2010","July 2007","September 2010","November 16, 2010","November 2009","No Study Results Posted","TAG","May 2010","Overall survival|Progression-free survival|adverse events|Health-related quality of life|Cognitive functioning|Efficacy according to MGMT Promoter methylation status","https://ClinicalTrials.gov/show/NCT01242566"
17,"NCT01736800","Phase II Trial of Chemotherapy With Temodar With Topotecan for CNS Metastasis of Solid Tumors","Unknown status","No Results Available","Central Nervous System (CNS) Metastases|Brain Metastases","Drug: Topotecan|Drug: Temozolomide","The Methodist Hospital System","All","18 Years to 79 Years   (Adult, Senior)","Phase 2","35","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","P05200","November 19, 2012","March 2007","null","June 18, 2013","June 2013","No Study Results Posted","null","March 2015","Radiologic Response|Median Overall Survival","https://ClinicalTrials.gov/show/NCT01736800"
18,"NCT00362817","Carboplatin and Temozolomide (Temodar) for Recurrent and Symptomatic Residual Brain Metastases","Completed","Has Results","Brain Tumor|Brain Metastases","Drug: carboplatin|Drug: temozolomide","Ohio State University Comprehensive Cancer Center","All","18 Years and older   (Adult, Senior)","Phase 1|Phase 2","17","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","OSU-0428","August 8, 2006","October 2004","February 2008","May 4, 2015","May 2015","February 26, 2015","null","January 2008","Affects of Response Rate of Chemotherapy With Intra-arterial Carboplatin and Oral Temozolomide|Analyze Patients Time to Progression|Determine the Overall Survival of Patients|Determine the Cause of Death of Patients After Treatment|The Incidence and Severity of Centeral Nervous System (CNS) Toxicities|Quality of Life Assessment","https://ClinicalTrials.gov/show/NCT00362817"
19,"NCT00582075","Phase II Study of Gamma Knife Radiosurgery and Temozolomide for Brain Metastases","Completed","Has Results","Cancer|Brain Metastases","Drug: temozolomide","University of Alabama at Birmingham|Integrated Therapeutics Group","All","19 Years and older   (Adult, Senior)","Phase 2","25","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","F020522015","December 20, 2007","July 2002","June 2015","February 6, 2017","February 2017","July 6, 2015","RAD0102","October 2008","Percentage of Participants With Distant Brain Failure (DBF) at One Year|Overall Survival","https://ClinicalTrials.gov/show/NCT00582075"
20,"NCT00783393","SCH 52365 Phase II Clinical Study: A Study on the Efficacy and Safety of Monotherapy With SCH 52365 in Patients With First Relapsed Anaplastic Astrocytoma (Study P03745)","Completed","No Results Available","Astrocytoma","Drug: Temozolomide","Merck Sharp & Dohme Corp.","All","18 Years and older   (Adult, Senior)","Phase 2","32","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","P03745|JPC02-351-21","October 30, 2008","May 27, 2003","June 17, 2005","May 12, 2017","May 2017","No Study Results Posted","null","June 17, 2005","Overall response in Step 1|Incidence rate and severity of adverse events with administration of temozolomide in Step 1|Progression-free survival in Step 1|Overall survival in Step 1|Tumor response in Step 1|Neurological improvement in Step 1|Progression-free survival, overall survival, overall response, effect on neurological symptoms, and safety in Step 2|Progression-free survival in Step 2|Overall survival in Step 2|Overall response in Step 2|Effect on neurological symptoms in Step 2|Safety in Step 2","https://ClinicalTrials.gov/show/NCT00783393"
21,"NCT00643825","Prolonged Adjuvant Temozolomide vs ""Stop & Go"" in Glioblastoma Patients","Unknown status","No Results Available","Glioblastoma","Drug: Temozolomide|Drug: Temozolomide","Cliniques universitaires Saint-Luc- Université Catholique de Louvain","All","18 Years and older   (Adult, Senior)","Phase 2","64","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","UCL-ONCO 06-004","March 20, 2008","January 2008","January 2012","July 22, 2010","July 2010","No Study Results Posted","PATSGO","January 2011","to determine whether prolonged administration of Temozolomide in glioblastoma patients increase their progression-free and overall survival at 6 months|safety and adverse event profile of prolonged adjuvant Temozolomide","https://ClinicalTrials.gov/show/NCT00643825"
22,"NCT01127594","Evaluate Safety/Tolerability Intra-Arterial Temozolomide in Patients w/Extremity Melanoma by Isolated Limb Infusion","Completed","No Results Available","Melanoma","Drug: Temozolomide","Douglas Tyler|Merck Sharp & Dohme Corp.|Duke University|M.D. Anderson Cancer Center|H. Lee Moffitt Cancer Center and Research Institute","All","18 Years and older   (Adult, Senior)","Phase 1","29","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","Pro00020406","May 19, 2010","July 2010","June 2014","March 6, 2015","March 2015","No Study Results Posted","null","August 2013","Safety Profile of intra-arterial temozolomide and maximum tolerated dose of temozolomide|To define tumor response in field in patients treated with temozolomide","https://ClinicalTrials.gov/show/NCT01127594"
23,"NCT02507232","A Phase II Study of NovoTTF-200A Alone and With Temozolomide in Patients With Low-Grade Gliomas","Recruiting","No Results Available","Glioma","Device: NovoTTF-200A|Drug: Temozolomide","Santosh Kesari|NovoCure Ltd.|John Wayne Cancer Institute","All","18 Years and older   (Adult, Senior)","Phase 2","42","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: No masking|Primary Purpose: Treatment","150158","July 21, 2015","April 2017","April 2022","April 7, 2017","April 2017","No Study Results Posted","null","April 2021","12-month objective response rate (ORR) of NovoTTF-200A alone and combined with temozolomide|Efficacy of NovoTTF-200A alone and combined with temozolomide|Toxicity associated with treatment with NovoTTF-200A alone and combined with temozolomide|Effects of NovoTTF-200A alone and combined with temozolomide on seizure activity|Effects of NovoTTF-200A alone and combined with temozolomide on quality of life (QOL)|Frequency of transformation from low-grade glioma into high-grade glioma","https://ClinicalTrials.gov/show/NCT02507232"
24,"NCT00612651","PH I Addition of Farnesyl Transferase Inhibitor to Temozolomide for Pts w Gr 3 & 4 Malignant Gliomas","Completed","No Results Available","Gliosarcoma|Glioblastoma|Anaplastic Astrocytoma","Drug: Temodar and SCH 66336","Duke University|Schering-Plough","All","18 Years and older   (Adult, Senior)","Phase 1","37","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","Pro00005027|7009/Pro00005027","January 29, 2008","October 2005","June 2011","February 15, 2013","February 2013","No Study Results Posted","null","January 2009","Dose-limiting toxicity|Progression-free survival","https://ClinicalTrials.gov/show/NCT00612651"
25,"NCT01180816","Super-Selective Intraarterial Cerebral Infusion Of Temozolomide (Temodar) For Treatment Of Newly Diagnosed GBM And AA","Active, not recruiting","No Results Available","Glioblastoma Multiforme|Anaplastic Astrocytoma","Drug: Super-Selective Intraarterial Intracranial Infusion of Temozolomide","Northwell Health|Feinstein Institute for Medical Research|Hofstra North Shore","All","18 Years and older   (Adult, Senior)","Phase 1","30","Other","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","14-292A","August 10, 2010","August 2010","December 2017","January 30, 2017","January 2017","No Study Results Posted","null","December 2017","Determine the safety of superselective intra-arterial cerebral infusion of Temozolomide up to a dose of 250 mg/m2 IA.|Composite overall response rate.|Six-month progression-free survival (PFS) and overall survival (OS)","https://ClinicalTrials.gov/show/NCT01180816"
26,"NCT00576680","RAD001 and Temozolomide in Patients With Advanced Pancreatic Neuroendocrine Tumors","Active, not recruiting","No Results Available","Pancreatic Neuroendocrine Tumor","Drug: RAD001|Drug: Temozolomide","Dana-Farber Cancer Institute|Beth Israel Deaconess Medical Center|Brigham and Women's Hospital|Massachusetts General Hospital|Novartis|Schering-Plough","All","18 Years and older   (Adult, Senior)","Phase 1|Phase 2","12","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","07-325","December 17, 2007","May 2008","July 2016","April 12, 2016","April 2016","No Study Results Posted","null","July 2016","To determine the objective response rate of RAD001 in combination with temozolomide in patients with advanced pancreatic neuroendocrine tumors.|To determine the duration of response to the combination of RAD001 and temozolomide in this patient population.|To determine the safety and tolerability of this drug combination.|To determine the progression free survival and overall survival of patients receiving this combination.","https://ClinicalTrials.gov/show/NCT00576680"
27,"NCT00612339","Avastin in Combination With Temozolomide for Unresectable or Multifocal GBMs and Gliosarcomas","Completed","Has Results","Glioblastoma|Gliosarcoma","Drug: Avastin and Temozolomide","Duke University|Genentech, Inc.|Schering-Plough","All","18 Years and older   (Adult, Senior)","Phase 2","41","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","Pro00001022","January 29, 2008","August 2007","May 2012","May 20, 2013","September 2012","August 9, 2012","null","May 2012","Response Rate","https://ClinicalTrials.gov/show/NCT00612339"
28,"NCT00515788","DepoCyt Plus Temozolomide in Patients With Neoplastic Meningitis","Terminated","No Results Available","Neoplastic Meningitis","Drug: DepoCyt|Drug: Temozolomide","M.D. Anderson Cancer Center|Enzon Pharmaceuticals, Inc.|Schering-Plough","All","18 Years and older   (Adult, Senior)","Phase 1","11","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","2005-0135","August 13, 2007","February 2006","June 2009","March 8, 2012","March 2012","No Study Results Posted","null","June 2009","Maximum Tolerated Dose (MTD) for the combination of Temozolomide and DepoCyt","https://ClinicalTrials.gov/show/NCT00515788"
29,"NCT01205828","ABT-888 and Temozolomide for Liver Cancer","Terminated","Has Results","Hepatocellular Carcinoma","Drug: Temozolomide|Drug: ABT-888","Georgetown University|Abbott","All","18 Years and older   (Adult, Senior)","Phase 2","16","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","2009-268","September 18, 2010","August 2010","October 2014","March 11, 2017","January 2017","September 7, 2015","null","October 2014","Clinical Benefit Rate|Overall Survival|Progression Free Survival|Number of Participants Who Had Grade 3 or 4 Adverse Events|Biomarker Analysis","https://ClinicalTrials.gov/show/NCT01205828"
30,"NCT00501891","Bevacizumab in Combination With Metronomic Temozolomide for Recurrent Malignant Glioma","Completed","Has Results","Glioblastoma Multiforme","Drug: Bevacizumab|Drug: Metronomic Temozolomide","Duke University|Genentech, Inc.|Schering-Plough","All","18 Years and older   (Adult, Senior)","Phase 2","32","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","Pro00000404|AVF3821s|P04860","July 13, 2007","July 2007","November 2009","May 17, 2013","March 2013","February 6, 2013","null","December 2007","6-Month Progression-free Survival|Response Rate|Incidence and Severity of CNS Hemorrhage and Systemic Hemorrhage|Incidence of Grade ≥ 4 Hematologic or Grade ≥ 3 Non-hematologic Toxicity","https://ClinicalTrials.gov/show/NCT00501891"
31,"NCT00597493","Ph. 2 Sorafenib + Protracted Temozolomide in Recurrent GBM","Completed","Has Results","Recurrent Glioblastoma Multiforme","Drug: Sorafenib and Temozolomide","Duke University|Bayer|Schering-Plough","All","18 Years and older   (Adult, Senior)","Phase 2","32","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","Pro00000464","January 9, 2008","September 2007","December 2010","May 3, 2013","May 2013","May 3, 2013","null","February 2009","6 Month Progression Free Survival (PFS)|Safety and Toxicity of Combination|Pharmacokinetics: C-max|Pharmacokinetics: T-max|Pharmacokinetics: AUC-24","https://ClinicalTrials.gov/show/NCT00597493"
32,"NCT00792012","A Dose Per Fraction Escalation Trial of Hypofractionated IMRT With Temozolomide for Newly Diagnosed Glioblastoma","Completed","No Results Available","Glioblastoma Multiforme","Radiation: Hypofractionated Intensity-Modulated Radiation Therapy|Drug: Temozolomide","University of Colorado, Denver","All","18 Years and older   (Adult, Senior)","Phase 1","37","Other","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","05-0562.cc","November 13, 2008","November 2005","July 2016","March 23, 2017","March 2017","No Study Results Posted","null","July 2016","To identify the maximum dose per fraction of IMRT a patient can tolerate while keeping the total radiation dose at 60 Gy, provided concurrently with daily oral temozolomide chemotherapy|Progression-free survival","https://ClinicalTrials.gov/show/NCT00792012"
33,"NCT00657267","Dose-Intense Temozolomide in Recurrent Glioblastoma","Completed","Has Results","Glioblastoma|Gliosarcoma","Drug: Temozolomide","Patrick Y. Wen, MD|Brigham and Women's Hospital|Massachusetts General Hospital|University of Pennsylvania|Wake Forest University Health Sciences|Tufts Medical Center|Dartmouth-Hitchcock Medical Center|Schering-Plough|Dana-Farber Cancer Institute","All","18 Years and older   (Adult, Senior)","Phase 2","58","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","08-013|P05516","April 8, 2008","May 2008","October 2013","February 13, 2014","February 2014","June 16, 2013","null","November 2011","6 Month Progression Free Survival|Overall Survival|Radiographic Response|Time to Progression.","https://ClinicalTrials.gov/show/NCT00657267"
34,"NCT00389090","A Phase II Study of Temozolomide and O6-Benzylguanine (O6-BG) in Patients With Temozolomide-Resistant Anaplastic Glioma","Terminated","No Results Available","Glioma|Astrocytoma|Oligodendroglioma|Oligoastrocytoma","Drug: Temozolomide and O6-Benzylguanine","Keryx / AOI Pharmaceuticals, Inc.","All","18 Years and older   (Adult, Senior)","Phase 2","32","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","O6BG 202","October 16, 2006","October 2006","February 2009","February 7, 2012","February 2012","No Study Results Posted","null","June 2008","best objective response rate|Safety Assessment|progression-free survival|overall survival","https://ClinicalTrials.gov/show/NCT00389090"
35,"NCT00275002","O6-Benzylguanine and Temozolomide in Treating Young Patients With Recurrent or Progressive Gliomas or Brain Stem Tumors","Completed","Has Results","Brain and Central Nervous System Tumors","Drug: O6-benzylguanine|Drug: temozolomide","National Cancer Institute (NCI)","All","up to 21 Years   (Child, Adult)","Phase 2","41","NIH","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","NCI-2012-03050|PBTC-015|NCI-06-C-0089|NCI-P6692|CDR0000455561","January 10, 2006","February 2006","December 2010","July 25, 2014","February 2013","July 13, 2011","null","July 2010","Percentage of Participants With an Objective Response (Complete Response or Partial Response)|Number of Patients With Grade 3 or 4 Adverse Events at Least Possibly Related to the Combination of O6-benzylguanine and Temozolomide","https://ClinicalTrials.gov/show/NCT00275002"
36,"NCT00704080","A Study of XL765 (SAR245409) in Combination With Temozolomide With and Without Radiation in Adults With Malignant Gliomas","Completed","No Results Available","Mixed Gliomas|Malignant Gliomas|Glioblastoma Multiforme","Drug: XL765 (SAR245409)|Drug: Temozolomide","Sanofi","All","18 Years and older   (Adult, Senior)","Phase 1","54","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","TED11441|XL765-002","June 20, 2008","August 2008","February 2013","April 9, 2013","April 2013","No Study Results Posted","null","February 2012","Safety, tolerability, and maximum tolerated dose of XL765 administered in combination with temozolomide in subjects with anaplastic gliomas or glioblastoma currently stable on a maintenance temozolomide dose|To evaluate plasma pharmacokinetics and pharmacodynamic effects of XL765 and temozolomide when administered in combination|To evaluate preliminary efficacy of XL765 in combination with temozolomide in adults with anaplastic gliomas or glioblastoma","https://ClinicalTrials.gov/show/NCT00704080"
