"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
18,"NCT00148694","Preoperative Cisplatin in Early Stage Breast Cancer","Completed","No Results Available","Breast Cancer","Drug: Cisplatin","Dana-Farber Cancer Institute|Beth Israel Deaconess Medical Center|Massachusetts General Hospital|Brigham and Women's Hospital|Breast Cancer Research Foundation","All","18 Years and older   (Adult, Senior)","Phase 2","27","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","04-183","September 7, 2005","July 2004","May 2010","August 29, 2016","August 2016","No Study Results Posted","null","May 2006","To determine the clinical response after preoperative therapy with cisplatin in ER-, PR-, HER-2 negative early breast cancer patients|To determine the pathologic complete response after preoperative therapy with cisplatin in this patient population","https://ClinicalTrials.gov/show/NCT00148694"
19,"NCT02475772","A Study With Intraperitoneal Cisplatin and Doxorubicin in Recurrent Ovarian Cancer and Peritoneal Carcinomatosis","Recruiting","No Results Available","Ovarian Cancer","Drug: Cisplatin and doxorubicin|Procedure: Cisplatin and doxorubicin","Clemens Tempfer|Ruhr University of Bochum","Female","18 Years to 80 Years   (Adult, Senior)","Phase 1","15","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","PIPAC-OV2|2014-001034-28","March 27, 2014","November 2016","November 2017","November 13, 2016","November 2016","No Study Results Posted","null","November 2017","Adverse events according to CTCAE criteria|Clinical benefit according to RECIST criteria","https://ClinicalTrials.gov/show/NCT02475772"
20,"NCT01928680","Phase II Study of Capecitabine and Cisplatin to Treat Metastatic Triple Negative Breast Cancer","Unknown status","Has Results","Metastatic Breast Cancer","Drug: Cisplatin/Capecitabine","Chinese Academy of Medical Sciences","Female","18 Years to 70 Years   (Adult, Senior)","Phase 2","33","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","LQ0001|CAMS-LQ0001","May 1, 2013","November 2012","March 2016","February 4, 2015","February 2015","February 4, 2015","null","October 2015","Overall Response Rate|Progression Free Survival|Overall Survival|Number and Severity of Adverse Events of Patients Enrolled in This Trial","https://ClinicalTrials.gov/show/NCT01928680"
21,"NCT01869023","Phase II Study of Six Hours Low Dose Gemcitabine Plus Cisplatin in the Treatment for Advanced Pleural Mesothelioma","Active, not recruiting","No Results Available","Advanced Malignant Pleural Mesothelioma","Drug: Gemcitabine|Drug: Cisplatin","Instituto Nacional de Cancerologia de Mexico|National Council of Science and Technology, Mexico","All","18 Years to 75 Years   (Adult, Senior)","Phase 2","26","Other","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","INCANOGAR2012-JA3","April 18, 2012","November 2010","December 2017","March 1, 2017","March 2017","No Study Results Posted","null","December 2017","Evaluate adverse effects to 250 mg/m2 infusion gemcitabine|Progression Free Survival|overall survival","https://ClinicalTrials.gov/show/NCT01869023"
22,"NCT02277184","Ficlatuzumab, Cisplatin and IMRT in Locally Advanced Head and Neck Squamous Cell Carcinoma","Terminated","No Results Available","Carcinoma, Squamous Cell of Head and Neck","Drug: Ficlatuzumab|Drug: Cisplatin|Radiation: Intensity Modulated Radiotherapy (IMRT)","Julie E. Bauman, MD, MPH|AVEO Pharmaceuticals, Inc.|University of Pittsburgh","All","18 Years and older   (Adult, Senior)","Phase 1","1","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label","13-060","October 25, 2014","September 2015","September 2016","September 12, 2016","September 2016","No Study Results Posted","null","September 2016","Establish the recommended-for-phase II dose (RP2D) of the combination of ficlatuzumab, cisplatin and intensity-modulated radiotherapy (IMRT)|Evaluate the preliminary efficacy of the combination of ficlatuzumab, cisplatin and intensity-modulated radiotherapy as curative-intent treatment for patients with locally advanced HNSCC|Evaluate biomarkers of HGF/c-Met pathway activation in baseline tumor biopsies, to correlate with preliminary efficacy data|Evaluate change in biomarkers of HGF/c-Met pathway activation after a single dose of ficlatuzumab, prior to initiation of cisplatin-IMRT, to correlate with preliminary efficacy data|Evaluate pharmacodynamic plasma biomarkers of HGF/c-Met pathway activation to correlate with preliminary efficacy data.|Describe the prevalence of PIK3CA, PTEN, and HRAS mutations in patients' tumors|Describe dendritic and T cell phenotypes in pre and post ficlatuzumab biopsies|Evaluate pharmacodynamic biomarkers of peripheral T cell and natural killer cell activation","https://ClinicalTrials.gov/show/NCT02277184"
23,"NCT01854203","Combination of Cisplatin Plus Gemcitabine Induction Chemotherapy and Intensity-modulated radiotherapyIntensity-modulated Radiotherapy With or Without Concurrent Cisplatin for NPC","Unknown status","No Results Available","Nasopharyngeal Carcinoma","Drug: Inductive chemotherapy + concurrent cisplatin and IMRT|Drug: Inductive chemotherapy + IMRT","Sun Yat-sen University","All","18 Years to 65 Years   (Adult)","Phase 2|Phase 3","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single Blind (Participant)|Primary Purpose: Treatment","ChiECRCT-2013003","May 10, 2013","July 2013","December 2016","July 28, 2013","July 2013","No Study Results Posted","NPC","December 2016","Overall survival|Failure-free survival|Locoregional failure-free survival|Distant failure-free survival|Difference in the complete response rates between the two treatment arms","https://ClinicalTrials.gov/show/NCT01854203"
24,"NCT01320254","PiCCA Study (Panitumumab in Combination With Cisplatin/Gemcitabine)","Unknown status","No Results Available","Cholangiocarcinomas","Drug: Cisplatin, Gemcitabine, Panitumumab|Drug: Cisplatin, Gemcitabine","Hannover Medical School|Hannover Clinical Trial Center GmbH","All","18 Years and older   (Adult, Senior)","Phase 2","92","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","EudraCT-Nr.: 2010-018850-11","March 21, 2011","June 2011","June 2014","October 10, 2012","October 2012","No Study Results Posted","PiCCA","June 2014","progression-free survival rate|Tumor response|Progression-free survival|Overall survival|Number of Participants with Adverse Events as a Measure of Toxicity/Safety|Translational research","https://ClinicalTrials.gov/show/NCT01320254"
25,"NCT02182778","GEM/Cisplatin/S-1 vs GEM/Cisplatin for Biliary Tract Cancer","Active, not recruiting","No Results Available","Biliary Tract Cancer","Drug: Gemcitabine/Cisplatin|Drug: Gemcitabine/Cisplatin /S-1","Kansai Hepatobiliary Oncology Group","All","20 Years and older   (Adult, Senior)","Phase 3","246","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","KHBO1401|UMIN 000014371","June 28, 2014","June 2014","May 2019","August 31, 2016","August 2016","No Study Results Posted","null","May 2017","Overall survival rate|Response rate|Progression free survival|Number of Participants with Adverse Events as a Measure of Safety","https://ClinicalTrials.gov/show/NCT02182778"
26,"NCT01872962","Induction Gemcitabine and Cisplatin in Patients With Locoregionally Advanced Nasopharyngeal Carcinoma","Active, not recruiting","No Results Available","Nasopharyngeal Carcinoma","Drug: gemcitabine and cisplatin (Induction chemotherapy)|Radiation: IMRT and concurrent cisplatin","Sun Yat-sen University|Fudan University|West China Hospital|Tongji Hospital|Peking University|Zhejiang Cancer Hospital|First People's Hospital of Foshan|Cancer Hospital of Guangxi Medical University|Jiangxi Provincial Cancer Hospital|Xijing hospital of The fourth military medical university|Cancer Hospital of Guizhou Province|Cancer Hospital of Shantou University|Fifth Affiliated Hospital, Sun Yat-Sen University|Wuhan Union Hospital, China","All","18 Years to 65 Years   (Adult)","Phase 3","480","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: No masking|Primary Purpose: Treatment","B2013-022-01","May 31, 2013","November 2013","November 2020","February 19, 2017","February 2017","No Study Results Posted","null","November 2018","Failure-free survival|Overall survival|Locoregional failure-free survival|Distant failure-free survival|Number of participants with adverse events","https://ClinicalTrials.gov/show/NCT01872962"
27,"NCT01644994","Intracavitary Cisplatin-Fibrin Localized Chemotherapy After P/D or EPP for Malignant Pleural Mesothelioma","Recruiting","No Results Available","Malignant Pleural Mesothelioma","Drug: intracavitary cisplatin-fibrin","University of Zurich|Swiss National Science Foundation|Swiss Accident Insurance Fund SUVA","All","18 Years and older   (Adult, Senior)","Phase 1|Phase 2","54","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","INFLuenCe - Meso","July 17, 2012","November 2012","August 2020","May 10, 2016","May 2016","No Study Results Posted","null","August 2020","number of participants with adverse events|local cisplatin concentration in the superficial chest wall tissue by inductively coupled plasma sector field mass spectrometric (ICP-MS) detection|safety blood parameters (hematology and clinical chemistry)|overall survival|FFR freedom from recurrence = time to tumor progression by CT or PET-CT/MRI|change from baseline in SF-36 quality of life questionnaire|change from baseline in EORTC Lung Cancer Questionnaire QLQ-C15/LC13|cisplatin concentration in blood serum by inductively coupled plasma sector field mass spectrometric (ICP-MS) detection|cisplatin concentration in urine by inductively coupled plasma sector field mass spectrometric (ICP-MS) detection|TUNEL assay (markers for apoptosis in superficial chest wall tissue)|PAI-1 and p21 markers for senescence in superficial chest wall tissue|in-treatment-field FFR freedom from recurrence = time to tumor progression by CT or PET-CT/MRI in the chest cavitiy where the IMP was applied","https://ClinicalTrials.gov/show/NCT01644994"
28,"NCT02392637","Gemcitabine, Cisplatin, and Abraxane in Advanced Biliary Cancers","Recruiting","No Results Available","Biliary Tract Cancer","Drug: Abraxane (Nab-Paclitaxel)|Drug: Cisplatin|Drug: Gemcitabine|Behavioral: Phone Calls","M.D. Anderson Cancer Center|Celgene","All","18 Years and older   (Adult, Senior)","Phase 2","50","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","2014-0524|NCI-2015-00578","March 13, 2015","April 2015","null","September 23, 2016","September 2016","No Study Results Posted","null","April 2018","Progression-Free Survival (PFS) of Gemcitabine, Cisplatin, and Abraxane in Advanced Biliary Cancers|Response Rate (RR) of Gemcitabine, Cisplatin, and Abraxane in Advanced Biliary Cancers","https://ClinicalTrials.gov/show/NCT02392637"
29,"NCT00522795","Neoadjuvant Paclitaxel Poliglumex, Cisplatin and Radiation for Esophageal Cancer: A Phase II Trial (CTI#X64001)","Completed","Has Results","Esophageal Cancer","Drug: PPX with cisplatin and radiation","Brown University|University of Maryland Greenebaum Cancer Center","All","19 Years and older   (Adult, Senior)","Phase 2","40","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","BrUOG-E-215","August 28, 2007","August 2007","April 2010","June 26, 2014","June 2014","May 21, 2013","null","February 2010","Complete Pathologic Response","https://ClinicalTrials.gov/show/NCT00522795"
30,"NCT02994069","Cisplatin + Radiation in SCCHN and Correlation With Oxidative Stress Markers","Recruiting","No Results Available","Carcinoma, Squamous Cell|Head and Neck Cancer","Drug: Cisplatin|Radiation: XRT","Susanne Arnold|University of Kentucky","All","18 Years and older   (Adult, Senior)","Phase 2","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: No masking|Primary Purpose: Treatment","MCC-16-HN-29","December 12, 2016","April 11, 2017","October 31, 2028","April 18, 2017","March 2017","No Study Results Posted","null","October 31, 2018","Adverse event rate|Local control rates|Survival","https://ClinicalTrials.gov/show/NCT02994069"
31,"NCT01312311","Weekly Docetaxel Plus Cisplatin as the First-line Therapy for Nasopharyngeal Cancer","Unknown status","No Results Available","Nasopharyngeal Cancer","Drug: Docetaxel, Cisplatin","Samsung Medical Center","All","18 Years and older   (Adult, Senior)","Phase 2","51","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","2006-07-005","February 21, 2011","July 2006","null","March 8, 2011","March 2011","No Study Results Posted","null","May 2011","objective response rate|number of patients with adverse events","https://ClinicalTrials.gov/show/NCT01312311"
32,"NCT01650090","Phase 2 Study of Inhaled Lipid Cisplatin in Pulmonary Recurrent Osteosarcoma","Active, not recruiting","No Results Available","Pulmonary Relapse of Osteosarcoma","Drug: Inhaled Lipid Cisplatin (ILC)","Eleison Pharmaceuticals LLC.","All","13 Years and older   (Child, Adult, Senior)","Phase 2","50","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Prevention","EP-ILC-201","July 20, 2012","August 2012","December 2016","January 19, 2016","January 2016","No Study Results Posted","null","June 2016","Observed Relapse Free Interval (RFI)|Median, 1, 2 and 5 year Overall Survival (OS)|Median, 1, 2 and 5 year Event Free Survival (EFS)","https://ClinicalTrials.gov/show/NCT01650090"
33,"NCT02207660","Cisplatin Plus One-Day 24-hour Infusion of High-Dose 5-Fluorouracil for Stage IVB, Recurrent or Metastatic Carcinoma of the Uterine Cervix","Completed","No Results Available","Cervical Cancer","Drug: Cisplatin,P-HDFL","National Taiwan University Hospital","Female","20 Years to 90 Years   (Adult, Senior)","","30","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","201211032RIC","July 3, 2013","July 2014","January 2015","February 3, 2015","February 2015","No Study Results Posted","null","January 2015","Overall survival|Progression-free survival","https://ClinicalTrials.gov/show/NCT02207660"
34,"NCT02723864","Veliparib (ABT-888), an Oral PARP Inhibitor, and VX-970, an ATR Inhibitor, in Combination With Cisplatin in People With Refractory Solid Tumors","Recruiting","No Results Available","Neoplasms","Drug: Veliparib + VX-970 + Cisplatin","National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)","All","18 Years to 110 Years   (Adult, Senior)","Phase 1","60","NIH","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","160087|16-C-0087","March 30, 2016","March 22, 2016","December 31, 2017","May 12, 2017","March 10, 2017","No Study Results Posted","null","June 30, 2017","To establish the safety, tolerability, and MTD of the combination of VX 970 and veliparib in combination with cisplatin in patients with advanced refractory solid tumors|To assess the effect of the combination of VX-970, veliparib, and cisplatin on markers of DNA damage and apoptosis","https://ClinicalTrials.gov/show/NCT02723864"
35,"NCT00922896","Trial of Erlotinib, Gemcitabine and Cisplatin in Metastatic Pancreatic Cancer","Completed","No Results Available","Metastatic Pancreatic Cancer","Drug: Gemcitabine, Cisplatin, Erlotinib (Tarceva)","Gyeongsang National University Hospital|Dong-A University Hospital|Chung-Ang University Hosptial, Chung-Ang University College of Medicine","All","18 Years to 70 Years   (Adult, Senior)","Phase 2","22","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","Gyeongsang-001","June 2, 2009","June 2009","May 2011","November 18, 2012","November 2012","No Study Results Posted","null","August 2010","To assess the response rate associated with gemcitabine, erlotinib and cisplatin in patients with advanced pancreatic cancer","https://ClinicalTrials.gov/show/NCT00922896"
