"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
11,"NCT00981708","Lenalidomide, Dexamethasone and Cyclophosphamide in Amyloidosis (AL)","Unknown status","No Results Available","Amyloidosis","Drug: Lenalidomide, Dexamethasone and Cyclophosphamide","University of Athens|Hellenic Cooperative Oncology Group","All","18 Years and older   (Adult, Senior)","Phase 1|Phase 2","37","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","RV-178","September 19, 2009","February 2008","February 2015","January 30, 2014","January 2014","No Study Results Posted","null","December 2011","To assess the maximum tolerated dose of lenalidomide and cyclophosphamide and assess the hematologic response rate of the combination of Cyclophosphamide/Dexamethasone plus lenalidomide in patients with AL amyloidosis.|To assess the toxicity of Cyclophosphamide/Dexamethasone plus lenalidomide combination in patients with AL amyloidosis and organ response rate","https://ClinicalTrials.gov/show/NCT00981708"
12,"NCT02013336","Phase 1 Study of MM-398 Plus Cyclophosphamide in Pediatric Solid Tumors","Recruiting","No Results Available","Recurrent or Refractory Solid Tumors|Ewing Sarcoma|Rhabdomyosarcoma|Neuroblastoma|Osteosarcoma","Drug: MM-398 (Irinotecan Sucrosofate Liposome Injection) plus cyclophosphamide","South Plains Oncology Consortium","All","12 Months to 20 Years   (Child, Adult)","Phase 1","30","Other","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","SPOC-2012-001","December 11, 2013","December 2013","December 2017","February 2, 2017","February 2017","No Study Results Posted","null","December 2017","To determine the Maximum Tolerated Dose (MTD) of MM-398 in combination with intravenous cyclophosphamide by assessing the occurrence of dose limiting toxicities|Measurement of plasma levels of study drug to determine the pharmacokinetic properties of MM-398 in combination with cyclophosphamide","https://ClinicalTrials.gov/show/NCT02013336"
13,"NCT01207297","Tacrolimus Versus Cyclophosphamide as Treatment for Lupus Nephritis","Completed","No Results Available","SLE|Lupus Nephritis|Renal Insufficiency|End-stage Renal Disease","Drug: Tacrolimus|Drug: cyclophosphamide","Zhejiang University","All","15 Years to 64 Years   (Child, Adult)","Phase 1","40","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","ChiCTR-TKMS-1000960|ChiCTR-TNRC-10000960","September 21, 2010","March 2003","June 2010","August 22, 2011","September 2010","No Study Results Posted","null","March 2010","Tacrolimus versus cyclophosphamide as treatment for diffuse proliferative or membranous lupus nephritis|Evaluating the effective and safety of TAC for severe lupus nephritis compared CYC protocol.","https://ClinicalTrials.gov/show/NCT01207297"
14,"NCT02794077","Cyclophosphamide for Nasopharyngeal Carcinoma","Active, not recruiting","No Results Available","Recurrent Nasopharyngeal Undifferentiated Carcinoma|Stage IV Nasopharyngeal Undifferentiated Carcinoma","Drug: Cyclophosphamide","The University of Hong Kong","All","15 Years to 80 Years   (Child, Adult, Senior)","Phase 2","50","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","Cyclophosphamide","May 30, 2016","January 2008","June 2016","June 2, 2016","June 2016","No Study Results Posted","null","December 2015","Progression-free survival|Objective response rate|Disease control rate|Number of participants with treatment-related adverse events as assessed by CTCAE version 4.0|Overall survival","https://ClinicalTrials.gov/show/NCT02794077"
15,"NCT00890955","Amrubicin + Cyclophosphamide in Advanced Solid Organ Malignancies","Completed","No Results Available","Lung Cancer","Drug: Amrubicin|Drug: Cyclophosphamide","Lawrence Einhorn|Celgene Corporation|Hoosier Cancer Research Network","All","18 Years and older   (Adult, Senior)","Phase 1","36","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","HOG LUN07-130","April 29, 2009","March 2009","July 2010","December 21, 2015","December 2015","No Study Results Posted","null","July 2010","To determine the maximum tolerated dose (MTD) and dose limiting toxicities (DLTs) of the combination of amrubicin and cyclophosphamide in patients with advanced solid tumors.|To determine the toxicities of the combination of amrubicin and cyclophosphamide in patients with advanced solid tumors.|To assess response to the combination of amrubicin and cyclophosphamide","https://ClinicalTrials.gov/show/NCT00890955"
16,"NCT02441491","Treatment of Rapid Onset Obesity, Hypoventilation, Hypothalamic Dysfunction, and Autonomic Dysregulation (ROHHAD )","Recruiting","No Results Available","ROHHAD Syndrome","Drug: Cyclophosphamide","Sidney Kimmel Comprehensive Cancer Center","All","12 Months to 22 Years   (Child, Adult)","","12","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","J1520|IRB00060912","April 8, 2015","March 2015","March 2023","May 17, 2016","May 2016","No Study Results Posted","null","March 2022","Symptomatic improvement on the ROHHAD Symptoms Scale of children with ROHHAD syndrome after treatment with high-dose cyclophosphamide .|Safety and toxicity of high-dose cyclophosphamide used to treat children with ROHHAD of as measured by NCI Common Terminology Criteria for Adverse Events (CTCAE) v4.0.|To calculate Area Under Curve (AUC) of high dose cyclophosphamide in obese children.|Neuropsychological function of patients with ROHHAD before and after high-dose cyclophosphamide measured using complementary age appropriate evaluation tools including Wechsler Preschool and Primary Scale of Intelligence RAN objects, and AIM.","https://ClinicalTrials.gov/show/NCT02441491"
17,"NCT00176605","Phase II Metronomic Dosing, Etoposide, Cyclophosphamide, D0 Prostate Cancer","Completed","Has Results","Prostate Cancer","Drug: Etoposide|Drug: Cyclophosphamide","Rutgers, The State University of New Jersey|National Cancer Institute (NCI)|Bristol-Myers Squibb","Male","18 Years and older   (Adult, Senior)","Phase 2","15","Other|NIH|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","080408|P30CA072720|0220044931|CDR0000443482","September 13, 2005","May 2005","October 2008","April 18, 2014","April 2014","September 17, 2013","null","October 2008","PSA Response Rate|Toxicities Related to Chronic Administration of Etoposide and Cyclophosphamide in Patients With Stage D0 Prostate Cancer.","https://ClinicalTrials.gov/show/NCT00176605"
18,"NCT00605566","Efficacy Study of Sorafenib and Cyclophosphamide to Treat Neuroendocrine Tumors","Completed","No Results Available","Neuroendocrine Tumors","Drug: sorafenib and cyclophosphamide","University Health Network, Toronto","All","18 Years and older   (Adult, Senior)","Phase 2","22","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Supportive Care","SOR-NET-001","January 18, 2008","January 2008","February 2015","March 14, 2016","March 2016","No Study Results Posted","null","February 2015","To determine the efficacy of combination sorafenib plus metronomic cyclophosphamide in advanced, progressive NET, as measured by the objective response rate (ORR), and to assess the feasibility of the individual dose adjustment of sorafenib.|To assess the toxicity, time-to-progression (TTP), overall survival (OS), and 1 year survival rate.","https://ClinicalTrials.gov/show/NCT00605566"
19,"NCT02821507","Sirolimus and Cyclophosphamide in Metastatic or Unresectable Myxoid Liposarcoma and Chondrosarcoma","Recruiting","No Results Available","Conventional Chondrosarcoma|Myxoid Liposarcoma|Mesenchymal Chondrosarcoma|Dedifferentiated Chondrosarcoma","Drug: sirolimus and cyclophosphamide","Leiden University Medical Center","All","18 Years and older   (Adult, Senior)","Phase 2","105","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","COSYMO","January 9, 2016","June 2014","June 2017","July 11, 2016","July 2016","No Study Results Posted","null","January 2017","Using the growth modulation index to evaluate time till disease progression with combination treatment of sirolimus and cyclophosphamide|Comparing pre-treatment tumor material and tumor material taken during treatment using immunohistochemistry to compare activation of the pS6, Bcl-2 and mTor pathway and DNA analysis for taqman analysis to search for hotspot mutations.|Register adverse events to evaluate the patient safety and tolerability of the sirolimus and cyclophosphamide combination in myxoid liposarcoma and chondrosarcoma|To evaluate the response according to response evaluation criteria in solid tumors (RECIST) 1.1|The median progression free survival after start of treatment|The overall survival after start of treatment till death","https://ClinicalTrials.gov/show/NCT02821507"
20,"NCT01554371","Eribulin in Combination With Cyclophosphamide in Patients With Solid Tumor Malignancies","Recruiting","No Results Available","Malignant Solid Tumour|Breast Cancer Nos Metastatic Recurrent|Neuropathy","Drug: Eribulin in Combination w/ Cyclophosphamide","University of California, San Francisco|Eisai Inc.","All","18 Years to 80 Years   (Adult, Senior)","Phase 1|Phase 2","58","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","UCSF Protocol Number11996","March 9, 2012","March 2012","December 2019","May 12, 2016","May 2016","No Study Results Posted","null","December 2017","Phase Ib: 1. Maximum tolerated dose (MTD) of eribulin in combination with cyclophosphamide in patients with any solid tumor|Phase II 1. Clinical benefit (complete response, partial response, and stable disease) of the combination of eribulin and cyclophosphamide in patients with advanced breast cancer|Phase Ib: 1. Safety of treatment|Phase Ib: 2. Dose Limiting Toxicity (DLT)|Phase Ib: 3. Pharmacokinetics (PK) and potential for drug-drug interaction|Phase Ib: 4. Quality of life|Phase Ib: 5. Pharmacodynamic, pharmacogenomic and response prediction biomarkers|Phase II 1. Efficacy of drug combination in patients with advanced breast cancer including response rate, duration of response and time to progression|Phase II 2. Safety of drug combination in expanded cohort - metastatic breast cancer|Phase II 3. Quality of life endpoints|Phase II 4. Pharmacodynamic, pharmacogenomic and response prediction biomarkers","https://ClinicalTrials.gov/show/NCT01554371"
21,"NCT00381173","A Study of ZYC300 Administered With Cyclophosphamide Pre-Dosing","Completed","No Results Available","Breast Cancer|Ovarian Cancer|Prostate Cancer|Colon Cancer|Renal Cancer","Drug: Cyclophosphamide & ZYC300 (ZYC300 with cyclophosphamide pre-dosing)","Eisai Inc.","All","18 Years and older   (Adult, Senior)","Phase 1","22","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","ZYC3-002","September 26, 2006","November 2006","October 2008","May 13, 2013","July 2011","No Study Results Posted","null","October 2008","Determine the feasibility, safety and tolerability of administering ZYC300 intramuscularly every other wk for 6 doses (400 micrograms DNA/total dose) to the study pop. pre-dosed with 600 mg/m^2 cyclophosphamide intravenously 3 days prior to study drug.|Assess the effect of cyclophosphamide on T reg number and function. Assess the generation of CYP1B1-specific immun. as a result of vac. regimen. Assess the effect of vac. regimen on tumor response, if any, in pat. pop.","https://ClinicalTrials.gov/show/NCT00381173"
22,"NCT01910844","Phase II Pilot Study Assessing Efficacy of a Cisplatin - Métronomic Cyclophosphamide Treatment in Patients With Stade IV Triple Negative Breast Cancer Secondary Resistant to Anthracyclines and Taxanes","Terminated","No Results Available","Metastatic Breast Cancer","Drug: Cisplatin|Drug: Cyclophosphamide","Centre Jean Perrin","Female","18 Years and older   (Adult, Senior)","Phase 2","3","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","CJP 4.2 - META2","May 28, 2013","July 2013","September 2016","October 10, 2016","July 2016","No Study Results Posted","META2","September 2016","Response rate of cisplatine - metronomic cyclophosphamide treatment|Disease free progression|Safety profile of cisplatin - metronomic cyclophosphamide association|Overall survival|Predictive factors to response and/or resistance treatment","https://ClinicalTrials.gov/show/NCT01910844"
23,"NCT00334646","Cyclophosphamide Drug Interaction Study In Cancer Patients","Terminated","No Results Available","Nausea and Vomiting, Chemotherapy-Induced|Cancer","Drug: Oral GW679769|Drug: IV Cyclophosphamide 500-700mg/m2","GlaxoSmithKline","All","18 Years and older   (Adult, Senior)","Phase 1","10","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Open Label|Primary Purpose: Treatment","NKV103444","June 6, 2006","August 2005","September 2009","July 26, 2012","July 2012","No Study Results Posted","null","September 2009","Cmax and AUC of cyclophosphamide and 4-hydroxycyclophosphamideSafety and tolerability parameters including pharmacoeconomics, blood pressure, heart rate, ECG, laboratory tests, clinical observation and adverse event reporting.|Terminal t1/2, Vd, and Cl of cyclophosphamideTerminal t1/2 of 4-hydroxycyclophosphamideAUC ratio of 4-hydroxycyclophosphamide and cyclophosphamideANC nadir","https://ClinicalTrials.gov/show/NCT00334646"
24,"NCT00844506","p53 Synthetic Long Peptides Vaccine With Cyclophosphamide for Ovarian Cancer","Completed","No Results Available","Ovarian Cancer","Drug: P53-SLP vaccine|Drug: Cyclophosphamide","University Medical Center Groningen|ISA Pharmaceuticals B.V.|Dutch Cancer Society","Female","18 Years and older   (Adult, Senior)","Phase 2","19","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","ISA-P53-CTX|EUDRACT 2007-007734-19|CCMO NL21308.000.07","February 13, 2009","October 2008","July 2009","February 24, 2011","February 2011","No Study Results Posted","ISA-P53-CTX","July 2009","Clinical responses to the p53 synthetic long peptide vaccine preceded by cyclophosphamide will be assessed by measurement of serum CA-125 levels and CT-scan.|Immunogenicity will be evaluated by assessing induction and frequency of p53-specific T cells by proliferation and IFN-γ ELISPOT.|Safety of the vaccine preceded by cyclophosphamide will be assessed by monitoring the incidence and severity of adverse events using Common Terminology Criteria for Adverse Events v3.0.","https://ClinicalTrials.gov/show/NCT00844506"
25,"NCT03132584","Cyclophosphamide and Alemtuzumab In Lymphoma","Not yet recruiting","No Results Available","Non Hodgkin Lymphoma|High-grade B-cell Lymphoma|CD52 Positive Non-Hodgkin Lymphoma|DLBCL or High-grade B-cell Lymphoma NOS","Drug: Cyclophosphamide|Drug: Alemtuzumab","Dana-Farber Cancer Institute|Genzyme, a Sanofi Company|Sanofi","All","18 Years to 75 Years   (Adult, Senior)","Phase 1","43","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","17-034","April 24, 2017","May 30, 2017","May 1, 2023","April 26, 2017","April 2017","No Study Results Posted","null","September 1, 2020","MTD of Cyclophosphamide and Alemtuzumab|Overall Response Rate|Complete Response Rate|Progression Free Survival|Overall Survival|Response Rate","https://ClinicalTrials.gov/show/NCT03132584"
26,"NCT00743509","A Phase II Study of Oral Cyclophosphamide and Sirolimus (OCR) in Advanced Sarcoma","Completed","Has Results","Osteosarcoma","Drug: Cyclophosphamide and Sirolimus","University of Michigan Cancer Center","All","16 Years and older   (Child, Adult, Senior)","Phase 2","49","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","UMCC 2008.049","August 27, 2008","August 2008","September 2012","August 31, 2015","August 2015","April 4, 2013","OCR","April 2010","Number of Patients Alive Without Disease Progression|Median Overall Survival Time","https://ClinicalTrials.gov/show/NCT00743509"
27,"NCT01540110","Study of Neoadjuvant Docetaxel and Cyclophosphamide in Locally Advanced or Node Positive Primary Breast Cancer With Companion Pharmacokinetic and Pharmacogenomic Analyses","Active, not recruiting","No Results Available","Breast Cancer","Drug: Neoadjuvant Docetaxel and Cyclophosphamide","National Cancer Centre, Singapore","All","21 Years and older   (Adult, Senior)","Phase 2","41","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","NCC0907","January 31, 2012","August 2010","August 2018","September 2, 2016","September 2016","No Study Results Posted","null","August 2018","To evaluate tumour pathological complete response rate after 6 cycles of neoadjuvant docetaxel and cyclophosphamide in Asian population","https://ClinicalTrials.gov/show/NCT01540110"
28,"NCT00667615","Trial of Vorinostat in Combination With Cyclophosphamide, Etoposide, Prednisone and Rituximab for Elderly Patients With Relapsed Diffuse Large B-Cell Lymphoma (DLBCL)","Completed","No Results Available","Hodgkin's Disease|Lymphoma","Drug: rituximab, cyclophosphamide, etoposide, prednisone, vorinostat and QOL questionnaire, peg-filgrastim or filgrastim","Memorial Sloan Kettering Cancer Center|Merck Sharp & Dohme Corp.|Northwestern University|NorthShore University HealthSystem Research Institute|Weill Medical College of Cornell University","All","60 Years and older   (Adult, Senior)","Phase 1|Phase 2","30","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","08-045","April 24, 2008","April 2008","February 2017","February 22, 2017","February 2017","No Study Results Posted","null","February 2017","To determine the maximum tolerated dose (MTD) of vorinostat given orally for 10 days in combination with cyclophosphamide, etoposide, prednisone and rituximab for elderly patients with relapsed diffuse large B-cell lymphoma|determine the complete response rate to rituximab and a combination of vorinostat with cyclophosphamide, etoposide, and prednisone in elderly pts with relapsed diffuse large B-cell lymphoma who aren't candidates for autologous stem cell transplantation.|To estimate the quality of life for these patients at baseline, during and at completion of treatment.","https://ClinicalTrials.gov/show/NCT00667615"
29,"NCT00954135","Letrozole Plus Oral Cyclophosphamide Plus/Minus Sorafenib as Primary Systemic Treatment in Breast Cancer Patients","Unknown status","No Results Available","Breast Cancer","Drug: letrozolo+cyclophosphamide|Drug: letrozolo+sorafenib+cyclophosphamide","University of Turin, Italy","Female","18 Years and older   (Adult, Senior)","Phase 2","190","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","EudraCT 2007-006208-39","August 6, 2009","September 2007","December 2010","August 6, 2009","August 2009","No Study Results Posted","null","June 2010","Progression free survival|Overall survival","https://ClinicalTrials.gov/show/NCT00954135"
30,"NCT01570764","Cyclophosphamide Systemic Sclerosis Associated Interstitial Lung Disease","Recruiting","No Results Available","Systemic Sclerosis|Scleroderma|Interstitial Lung Disease|Lung Fibrosis","Drug: Cyclophosphamide|Drug: Placebo","Assistance Publique - Hôpitaux de Paris|Hôpital Claude-Huriez","All","18 Years and older   (Adult, Senior)","Phase 3","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double Blind (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","P081241|2011-004709-26","April 2, 2012","January 2013","October 2018","September 14, 2016","August 2016","No Study Results Posted","SCLEROCYC","April 2018","Forced vital capacity|Mortality|Progression free survival|Carbon monoxide diffusing capacity (DLCO)|Treatment failure|Walk test distance|Dyspnea|Health Assessment Questionnaire|Quality of life|Chest CT (computed tomography) scan","https://ClinicalTrials.gov/show/NCT01570764"
31,"NCT01351909","Cyclophosphamide and Veliparib in Treating Patients With Locally Advanced or Metastatic Breast Cancer","Active, not recruiting","No Results Available","HER2/Neu Negative|Recurrent Breast Carcinoma|Stage IIIB Breast Cancer|Stage IIIC Breast Cancer|Stage IV Breast Cancer","Drug: Cyclophosphamide|Other: Laboratory Biomarker Analysis|Drug: Veliparib","National Cancer Institute (NCI)","All","18 Years and older   (Adult, Senior)","Phase 1","35","NIH","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","NCI-2011-02590|CDR0000700033|11-02-068|P8853_A18PAMDREVW01|8853|N01CM62204|P30CA013330","May 10, 2011","May 2, 2011","null","May 23, 2017","January 2017","No Study Results Posted","null","November 25, 2016","Recommended phase II dose of veliparib and cyclophosphamide|Clinical response (complete or partial response) according to RECIST version 1.1|MacroH2A1.1 expression levels|Overall survival|PARP1 expression status","https://ClinicalTrials.gov/show/NCT01351909"
